43,2022-07-12 05:00:27,"Ada banyak fitur yang bisa kamu gunain, misalnya buat pembelian BBM, loyalty program, promo dan ada juga produk - produk ramah lingkungan dari Pertamina. Jadi, Yuk buruan download sekarang juga!

#MyPertamina #Call135 https://t.co/PVrIdQF4Ty",MyPertamina,6,5
44,2022-07-12 05:00:24,"Banyak alasan buat kamu punya aplikasi MyPertamina nih, Sob!

#MyPertamina #Call135 https://t.co/KTC9P6bgGU",MyPertamina,7,5
45,2022-07-11 23:49:32,"Bayar BBM Pakai Aplikasi Bisa Picu Ledakan di SPBU? Cek Faktanya...

https://t.co/FISo8XeMEl

#MyPertamina #BBM",Mainmain,0,0
46,2022-07-11 23:00:01,"[HOAKS atau FAKTA]: Mobil terbakar di SPBU karena isi BBM pake aplikasi MyPertamina. 

#merahputihcom #spbu #mypertamina #bbm #kebakaran 

https://t.co/ZJgGw6vR8D",newsmerahputih,0,0
47,2022-07-11 15:14:23,PENTING !! WASPADA #scam #Phishing #MyPertamina  https://t.co/jr7wKMwMie,LULABELLES,0,0
48,2022-07-11 14:03:23,"Naik nya harga bbm demi kesejahteraan siapa ?? @interaksiumat #bbm #pertalite #mypertamina
@PangLima_Senyap 
@YukHijrah_New https://t.co/BPhe7ZvxMm",AnissaSri,10,1
49,2022-07-11 07:40:38,"Jangan lupa siapkan data yang diperlukan ya!

#PatraNiagaRJBT
#Pertamina
#MyPertamina
#Call135
#SubsidiTepatSasaran",Pertamina Patra Niaga RJBT,16,0
50,2022-07-11 06:29:36,Harga Pertamax Turbo dan Bright Gas Naik https://t.co/0wN5z40OcQ #Pertamax #BBM #MyPertamina #berita #nusabali #BrightGas #PertamaxTurbo,NusaBali.com,0,0
51,2022-07-11 05:11:00,"Jadi, jangan lupa isi full tank kendaraan kamu dengan #LebihBaikPertamax hari ini ya!

Happy monday, semuanya 🤗

#SelaluJadiAndalan #PerfectionInPerformance #LebihBaikPertamax #MyPertamina #Call135",Pertamax Series ID,12,12
52,2022-07-11 05:08:32,"Yuk untuk info lebih lanjut kamu bisa hubungi Pertamina Call Center di 135 ya.

#MyPertamina #Call135",MyPertamina,0,0
53,2022-07-11 05:08:31,"Jadi gini, mimin kasih informasi kalo aplikasi MyPertamina itu cuma salah satu dari 3 channel yang ada buat kamu bisa daftar diprogram Subsidi Tepat ini. Masih ada cara lainnya kok kalo kamu masih bingung.

#MyPertamina #Call135 https://t.co/NFBZqerO5i",MyPertamina,3,3
54,2022-07-11 05:08:28,"Diantara kamu, masih ada yang bingung kan apa kaitannya Subsidi Tepat dengan aplikasi MyPertamina?

#MyPertamina #Call135",MyPertamina,6,2
55,2022-07-11 04:33:18,"Harga Tiga Jenis BBM Non Subsidi Naik, Ini Penjelasannya

https://t.co/1nvDk6c3gk

#bbm #bbmnonsubsidi #hargabbm #bensin #pertamina #mypertamina",SUARAMERDEKA.COM,0,0
56,2022-07-11 04:23:56,"Manajemen PT Pertamina Patra Niaga memastikan tidak ada kenaikan harga bahan bakar subsidi jenis pertalite, solar, dan elpiji tiga kg di tengah adanya penyesuaian harga BBM nonsubsidi.

#mypertamina #pertamina #pertalite #solar #cekdulumedcom

https://t.co/ZZbLNEhAHx https://t.co/jKHx6Xpw1l",medcom_id,0,0
57,2022-07-10 22:44:23,"Ini Penyebab Pertamina Naikkan Harga Pertamax Turbo dan LPG Nonsubsidi

https://t.co/cSkwLy7HRr

#pertamax #PertamaxTurbo #LPG #nonSubsidi #BBMNaik #bbm #pertamina #finance #keuangan #infosec #mypertamina",Official NusantaraTv,2,1
58,2022-07-10 13:30:51,"Soalnya, pembakaran optimal dari RON 92 yang ada di Pertamax bakalan ngejaga mesin kamu tetap sehat selama dipakai berkendara 😎

So, are you ready for riding with Pertamax?

#LebihBaikPertamax #MyPertamina #Call135",Pertamax Series ID,1,0
59,2022-07-10 13:30:50,"RIDING MAX WITH PERTAMAX!

Jangan sampe riding gak cool gara-gara mesin amburadul dan mogok di jalan yang bikin pegel dengkul 🥴

Oleh karena itu, selalu isi #LebihBaikPertamax untuk kendaraan kamu sebelum berangkat riding ya!

#LebihBaikPertamax #MyPertamina #Call135 https://t.co/cjibBsQzOQ",Pertamax Series ID,1,0
60,2022-07-10 08:48:18,"Penggunaan MyPertamina diterapkan pada kendaraan yang sudah mendaftar untuk pengisian BBM bersubsidi jenis Solar dan Pertalite. Baca disini.

#portalyogya #MyPertamina 

https://t.co/5N43jO2HRl",portalyogya.com,0,0
61,2022-07-10 08:09:44,"""Kalau udah kejadian gini siapa yg mo TANGGUNG JAWAB??

MyPertamina 
Nah sdh ada kejadian akibat peraturan goblok dalam mengisi bbm menggunakan aplikasi ✍️Tadi sore di spbu desa Wero gombong…""&lt;/title&gt; 

#mypertamina #aplikasi #spbu https://t.co/QbDMU4f97c",Yyana_,2,2
62,2022-07-10 07:36:10,"MyPertamina, Aplikasi tidak menimbulkan transmisi tinggi yang dapat menyebabkan kebakaran
#MyPertamina https://t.co/aQTMb6K8sa",asui shiteru,0,0
63,2022-07-10 07:35:12,"MyPertamina, Aplikasi tidak menimbulkan transmisi tinggi yang dapat menyebabkan kebakaran
#MyPertamina https://t.co/nd8bD0SKHr",Senam,0,0
64,2022-07-10 07:34:29,"MyPertamina, Aplikasi tidak menimbulkan transmisi tinggi yang dapat menyebabkan kebakaran
#MyPertamina https://t.co/JNIDrXzaOT",In premiera,0,0
65,2022-07-10 01:25:56,"kirain ngantri daging kurban mau pake aplikasi #Mydomba 
#MyPertaminaUnFaedah 
#mypertamina 
#ieduladha #AdhaMubarak #Qurban #domba #sapi #daging",inoe nugraha,0,0
